code,year,jiscode,region,city_category,pop,finance_index,expenditure,expenditure_social_welfare,lfp_male,lfp_female,olfp_male,oldp_female,lfp_rate_female,expenditure_social_welfare_rate
2015100000 ,2015 ,1455 ,北海道 比布町,3 ,3777 ,0 ,39 ,7 ,1116 ,879 ,500 ,924 ,0.48752 ,0.16794 
2015100000 ,2015 ,1456 ,北海道 愛別町,3 ,2976 ,0 ,34 ,6 ,796 ,676 ,448 ,780 ,0.46429 ,0.17595 
2015100000 ,2015 ,1457 ,北海道 上川町,3 ,4044 ,0 ,52 ,8 ,1210 ,910 ,557 ,1010 ,0.47396 ,0.15900 
2015100000 ,2015 ,1458 ,北海道 東川町,3 ,8111 ,0 ,74 ,11 ,2181 ,1858 ,976 ,1941 ,0.48908 ,0.15102 
2015100000 ,2015 ,1459 ,北海道 美瑛町,3 ,10292 ,0 ,112 ,17 ,2909 ,2460 ,1365 ,2423 ,0.50379 ,0.15179 
2015100000 ,2015 ,1460 ,北海道 上富良野町,3 ,10826 ,0 ,79 ,16 ,3430 ,2377 ,1216 ,2290 ,0.50932 ,0.20000 
2015100000 ,2015 ,1461 ,北海道 中富良野町,3 ,5069 ,0 ,45 ,8 ,1404 ,1202 ,622 ,1078 ,0.52719 ,0.18652 
2015100000 ,2015 ,1462 ,北海道 南富良野町,3 ,2555 ,0 ,49 ,7 ,751 ,539 ,360 ,594 ,0.47573 ,0.13402 
2015100000 ,2015 ,1463 ,北海道 占冠村,3 ,1211 ,0 ,24 ,3 ,422 ,330 ,111 ,216 ,0.60440 ,0.12134 
2015100000 ,2015 ,1464 ,北海道 和寒町,3 ,3596 ,0 ,42 ,6 ,989 ,837 ,479 ,920 ,0.47638 ,0.15036 
2015100000 ,2015 ,1465 ,北海道 剣淵町,3 ,3228 ,0 ,39 ,7 ,999 ,835 ,404 ,683 ,0.55007 ,0.17647 
2015100000 ,2015 ,1468 ,北海道 下川町,3 ,3547 ,0 ,58 ,10 ,1044 ,744 ,491 ,901 ,0.45228 ,0.16580 
2015100000 ,2015 ,1469 ,北海道 美深町,3 ,4659 ,0 ,48 ,8 ,1342 ,1013 ,701 ,1164 ,0.46532 ,0.15625 
